"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.028291255E-2,3.718708456E-1,1.588463783E0,1.631909259E0
1.932171200E-2,-2.590617239E-1,1.721904278E-1,-4.725098312E-1,5.657102269E-1
3.863407000E-2,-1.258286983E-1,1.519106925E-1,-4.797140658E-1,5.186861331E-1
5.797228700E-2,-2.348428220E-1,1.784675568E-1,-1.042583436E-1,3.128444055E-1
7.727947200E-2,-2.203954607E-1,8.884610236E-2,5.772038102E-1,6.242051166E-1
9.661238000E-2,-2.404317707E-1,-1.541765332E-1,6.490871906E-1,7.091488002E-1
1.159523700E-1,-2.233708054E-1,1.754846871E-1,2.091060728E-1,3.527247394E-1
1.352628680E-1,-1.393910199E-1,1.263873279E-1,-3.156231344E-1,3.674528215E-1
1.546089300E-1,-6.001299247E-2,-6.802041084E-2,-3.071694374E-1,3.202833103E-1
1.739219740E-1,-2.336501330E-1,1.767381430E-1,-2.133125663E-1,3.623962014E-1
1.932315310E-1,-1.393878460E-1,8.552767336E-2,3.381535411E-1,3.756218469E-1
2.125724890E-1,-9.010449052E-2,-1.390788704E-1,5.391883254E-1,5.640796058E-1
2.319059110E-1,-1.079335064E-1,-1.705426276E-1,5.410097837E-1,5.774305289E-1
2.512324910E-1,-2.381733507E-1,1.178348586E-1,1.819019765E-1,3.220247318E-1
2.705380500E-1,-4.329953715E-2,-1.080861501E-2,-1.573713720E-1,1.635769690E-1
2.898841150E-1,-7.920970768E-2,-8.011371642E-2,-4.835821986E-1,4.965321019E-1
3.091938600E-1,-2.862588316E-2,1.243645698E-1,-1.192620024E-1,1.746694381E-1
3.285102460E-1,-2.447205633E-1,-1.038158536E-1,2.264723480E-1,3.492214340E-1
3.478512590E-1,-2.177713066E-1,-1.800935566E-1,6.907986403E-1,7.463650531E-1
3.671671950E-1,-2.228733301E-1,-1.199583858E-1,3.635578752E-1,4.429863025E-1
3.864797980E-1,-3.458663225E-1,-1.294422150E-1,-2.085490972E-1,4.241126336E-1
4.057961740E-1,-3.115490377E-1,-1.401747763E-1,-2.938358784E-1,4.506121328E-1
4.251340900E-1,-3.089337349E-1,-9.995888174E-2,-7.182255983E-1,7.882130681E-1
4.444505060E-1,-1.712206006E-1,-1.160127297E-1,-2.689802349E-1,3.393019515E-1
4.637669540E-1,-1.548856199E-1,-2.068545111E-2,-4.035634995E-1,4.327596807E-1
4.830834020E-1,-3.371683136E-2,-4.046962038E-2,1.974069029E-1,2.043137299E-1
5.023998180E-1,-1.114699319E-1,-8.365368843E-2,1.305272132E-1,1.909472144E-1
5.217416420E-1,-2.126432359E-1,-1.330223680E-1,1.095430460E-2,2.510619305E-1
5.410580580E-1,-1.447075158E-1,-7.386926562E-2,-2.175381780E-1,2.715138899E-1
5.603861450E-1,-6.886177510E-2,5.518575199E-3,-2.002932578E-1,2.118721026E-1
5.797084740E-1,-1.134751830E-3,5.535182077E-3,-1.882939972E-2,1.965889611E-2
5.990410260E-1,5.030951276E-2,-4.604575410E-2,5.309383273E-1,5.353006314E-1
6.183559190E-1,1.420794576E-1,-4.835066572E-2,8.210515380E-1,8.346556099E-1
6.377067820E-1,9.800119698E-2,-2.842022106E-2,5.651978850E-1,5.743349135E-1
6.570329510E-1,4.190268368E-2,-2.960162982E-2,1.867286116E-1,1.936483043E-1
6.763691770E-1,1.645120047E-2,-1.646031812E-2,-3.675764501E-1,3.683124092E-1
6.956869530E-1,-7.516899612E-3,1.516093314E-2,-5.526457429E-1,5.529047611E-1
7.150091260E-1,2.231689170E-2,2.279726975E-2,-1.654168814E-1,1.684651413E-1
7.343550250E-1,8.249624819E-2,-2.782643586E-2,3.714969754E-1,3.815625037E-1
7.536625740E-1,5.958226696E-2,-2.375162579E-2,3.742952049E-1,3.797513485E-1
7.730041060E-1,7.260250300E-2,-5.138278008E-2,6.383781433E-1,6.445447753E-1
7.923230030E-1,2.654934861E-2,4.452189058E-2,-3.225663006E-1,3.267048897E-1
8.116425140E-1,8.121986687E-2,-1.739564538E-2,5.273594856E-1,5.338607518E-1
8.309605980E-1,1.608423442E-1,-3.961153328E-2,8.582971692E-1,8.741357812E-1
8.502953930E-1,7.322287560E-2,-1.029099524E-2,1.392510831E-1,1.576653362E-1
8.696103340E-1,4.031756520E-2,1.696022227E-2,-2.664896250E-1,2.700553192E-1
8.889559610E-1,2.871691249E-2,3.617329150E-2,-3.172217607E-1,3.205663950E-1
9.082725190E-1,2.349861152E-2,2.089836635E-2,-9.444627166E-2,9.954408415E-2
9.275916300E-1,9.753867984E-2,-3.576864675E-2,3.603722453E-1,3.750484573E-1
9.469140720E-1,9.025485814E-2,-2.364785410E-2,1.888526380E-1,2.106430139E-1
9.662521630E-1,6.768046319E-2,2.675565891E-2,-1.184182093E-1,1.389941821E-1
9.855586580E-1,-3.085329942E-2,5.505792052E-2,-8.601360917E-1,8.624484895E-1
1.004882528E0,-1.286454201E-1,2.775195539E-1,-2.766741276E0,2.783599115E0
1.024224550E0,3.959420204E0,-6.617084742E-1,2.370565414E1,2.404314673E1
1.043548728E0,6.428248405E0,-2.732008934E0,2.423154259E1,2.521812655E1
1.062858502E0,2.689961195E0,1.075674295E0,-2.912026787E1,2.926402172E1
1.082207906E0,-2.741686583E0,-2.246071398E-1,-3.511026001E1,3.521785984E1
1.101519209E0,-5.700821280E-1,-1.094252229E0,-1.560788345E1,1.565657713E1
1.120848145E0,4.400344372E0,-5.424508452E-1,1.471867371E1,1.537194325E1
1.140167490E0,4.602737427E0,4.742958546E-1,2.670908928E1,2.710692898E1
1.159500056E0,4.928834438E0,6.143981125E-3,2.366125870E1,2.416916651E1
1.178822347E0,4.448917866E0,-5.173749924E-1,-1.093766928E0,4.610517666E0
1.198149550E0,-1.611501694E0,-3.267474473E-1,-2.895910645E1,2.900575025E1
1.217457959E0,-1.314347744E0,1.098783016E-1,-2.890576363E1,2.893583858E1
1.236807251E0,3.425302505E0,5.800438523E-1,-4.391634464E0,5.599607253E0
1.256126304E0,4.050838947E0,-1.558043838E0,3.205296707E1,3.234547101E1
1.275436358E0,4.097002506E0,-1.171649933E0,3.024418640E1,3.054290432E1
1.294776552E0,4.082461357E0,1.228752255E0,-1.987650514E0,4.703942751E0
1.314090699E0,-5.236000419E-1,-3.339913487E-1,-1.925050354E1,1.926051904E1
1.333411147E0,-9.069963694E-1,-1.834632643E-2,-2.513347435E1,2.514984119E1
1.352765422E0,-1.608182669E0,-1.722791344E-1,-2.516775894E1,2.521967529E1
1.372077115E0,3.373792648E0,1.832664311E-1,1.335843563E1,1.377910977E1
1.391394811E0,3.098924637E0,-1.400028348E0,3.497253036E1,3.513746282E1
1.410737787E0,3.768216372E0,-3.009614162E-2,1.075629807E1,1.139729391E1
1.430057784E0,1.487485766E0,4.114655256E-1,-1.538770294E1,1.546490607E1
1.449378238E0,-2.567454576E0,-2.233773023E-1,-2.611267090E1,2.623953700E1
1.468680972E0,-3.074510396E-1,-5.910211802E-2,-1.794176102E1,1.794449240E1
1.487999587E0,4.345695496E0,4.168532193E-1,6.575524807E0,7.892804472E0
1.507343781E0,3.660958529E0,-7.937858105E-1,2.978597832E1,3.002061321E1
1.526661436E0,3.812565327E0,-3.677345514E-1,2.036879730E1,2.072580002E1
1.546004754E0,2.552663803E0,6.123705506E-1,-6.835743427E0,7.322463956E0
1.565325937E0,-1.973953962E0,-2.397567332E-1,-2.302072334E1,2.310644241E1
1.584638271E0,-1.243970037E0,1.041086670E-2,-2.246849823E1,2.250291054E1
1.603981935E0,3.173554420E0,4.272749424E-1,-1.518205762E0,3.543862338E0
1.623301200E0,3.652476549E0,-6.837946773E-1,2.499684906E1,2.527153781E1
1.642615881E0,3.466118097E0,-5.715467334E-1,2.512392044E1,2.536832708E1
1.661960867E0,2.912837982E0,5.679582953E-1,-1.932586282E-1,2.973978923E0
1.681262668E0,-5.520415306E-1,-3.372048438E-1,-1.779216766E1,1.780392336E1
1.700615721E0,-1.673693538E0,-3.735605627E-2,-2.283083916E1,2.289213538E1
1.719939011E0,8.240781426E-1,4.892771840E-1,-9.085004807E0,9.135415113E0
1.739273665E0,2.447796106E0,-1.086062416E-1,1.574943447E1,1.593888915E1
1.758592402E0,2.755940914E0,-1.027776480E0,2.802278137E1,2.817672463E1
1.777910072E0,3.109494209E0,2.626674175E-1,6.270534039E0,7.004109189E0
1.797263003E0,6.772131920E-1,2.139648944E-1,-1.326626778E1,1.328526475E1
1.816572925E0,-1.988737226E0,-2.212855965E-1,-2.170829010E1,2.180031885E1
1.835888748E0,-9.487595558E-1,2.192600071E-1,-1.451604462E1,1.454866904E1
1.854380792E0,2.545081377E0,3.672146797E-1,7.093861580E0,7.545538944E0
1.873698296E0,2.801795006E0,-8.641986251E-1,2.699654388E1,2.715529923E1
1.893015800E0,3.036584854E0,-9.335101843E-1,2.697139359E1,2.715784161E1
1.912358648E0,3.631654739E0,-1.486149728E-1,1.404383183E1,1.450655765E1
1.931669101E0,-1.913950205E0,-3.225730062E-1,-1.988217735E1,1.997669229E1
1.950986605E0,-9.908106327E-1,6.699387450E-3,-1.758898926E1,1.761687525E1
1.970329325E0,2.604449511E0,4.861120582E-1,7.463225126E-1,2.752536917E0
1.989646829E0,2.970225573E0,-5.795753002E-1,2.275366020E1,2.295402361E1
2.009288307E0,2.856419086E0,-4.489999413E-1,1.994090462E1,2.014945180E1
2.028619315E0,2.010081053E0,5.219545364E-1,-2.540804148E0,3.281546601E0
2.047936563E0,-1.029576182E0,-2.663340271E-1,-1.675719261E1,1.679090424E1
2.067253683E0,-1.235782623E0,1.787701063E-2,-1.909599304E1,1.913594598E1
2.086596275E0,1.388734579E0,3.866335750E-1,-4.941875935E0,5.147835177E0
2.105913523E0,2.508472919E0,-2.618568838E-1,1.645614624E1,1.664829584E1
2.125230771E0,2.470118284E0,-6.276577711E-1,2.273809624E1,2.288048206E1
2.144548019E0,2.140081644E0,3.625849187E-1,3.352422714E0,3.993764555E0
2.163890611E0,-1.548186839E-1,-8.503682911E-3,-1.273220444E1,1.273314851E1
2.183207731E0,-1.659648538E0,-7.148142904E-2,-1.919008255E1,1.926184859E1
2.202524979E0,1.197030693E-1,3.120847046E-1,-9.873997688E0,9.879653639E0
2.221867571E0,2.148508072E0,6.669785827E-2,9.520406723E0,9.760055313E0
2.241180605E0,2.278385878E0,-7.184517980E-1,2.301405525E1,2.313771714E1
2.260497725E0,2.457313061E0,3.191532567E-2,8.984511375E0,9.314550484E0
2.279840317E0,8.370037675E-1,2.905629575E-1,-8.753402710E0,8.798128275E0
2.299157437E0,-1.698410988E0,-2.310830355E-1,-1.790011215E1,1.798199139E1
2.318474429E0,-1.012006760E0,1.646429598E-1,-1.342856693E1,1.346765291E1
2.337804523E0,1.666498661E0,3.764464855E-1,3.342382908E0,3.753725249E0
2.357121387E0,2.263449430E0,-5.776849985E-1,2.098758888E1,2.111719229E1
2.376438251E0,2.487122774E0,-2.366173714E-1,1.422412491E1,1.444186612E1
2.395780459E0,1.478473306E0,4.377227426E-1,-4.412229538E0,4.673890672E0
2.415097323E0,-1.156955957E0,-1.901298016E-1,-1.544866943E1,1.549309794E1
2.434431302E0,-1.378132701E0,1.242033020E-2,-1.560800457E1,1.566873354E1
2.453748038E0,1.066143155E0,4.119678438E-1,-1.874076247E0,2.195117426E0
2.473064646E0,7.988817692E-1,4.687866867E-1,-1.853983402E0,2.072493063E0
2.492406726E0,2.186448097E0,-3.645601273E-1,1.682602501E1,1.697140468E1
2.511723334E0,1.566735268E0,3.629265726E-1,3.766312003E-1,1.651734288E0
2.531056478E0,-5.703241825E-1,-9.023208171E-2,-1.233713531E1,1.235064044E1
2.550372830E0,-1.398846865E0,-3.780822828E-2,-1.641788292E1,1.647741125E1
2.569714654E0,5.038808584E-1,3.329359591E-1,-6.359698296E0,6.388310002E0
2.589031134E0,1.896730542E0,-1.032287106E-1,1.126523590E1,1.142426290E1
2.608372958E0,1.936848998E0,-5.279847383E-1,1.947015381E1,1.957337583E1
2.627679265E0,1.651746511E0,1.473085284E-1,5.261372566E0,5.516521333E0
2.646995489E0,2.956102602E-2,9.860888124E-2,-8.975429535E0,8.976019881E0
2.666337057E0,-1.421110392E0,-1.069294587E-1,-1.580537319E1,1.586949307E1
2.685653281E0,-3.010049462E-1,2.335179299E-1,-1.002380085E1,1.003103774E1
2.704969633E0,1.584616899E0,1.383588016E-1,5.478409767E0,5.704658399E0
2.724311201E0,1.829271078E0,-5.542222261E-1,1.884083557E1,1.893754155E1
2.743622681E0,1.742532611E0,-3.271121532E-2,9.983252525E0,1.013424003E1
2.762938649E0,5.900252461E-1,3.025575280E-1,-5.419694424E0,5.460106088E0
2.782280217E0,-1.209028602E0,-1.816985160E-1,-1.405006886E1,1.410316274E1
2.801596185E0,-1.099211693E0,6.806532294E-2,-1.257104874E1,1.261919829E1
2.820937625E0,9.701501131E-1,3.331814408E-1,3.068593442E-1,1.070683787E0
2.840248465E0,1.844264627E0,-3.972706497E-1,1.615491486E1,1.626469828E1
2.859564561E0,2.029379845E0,-2.638373971E-1,1.396745491E1,1.411657853E1
2.878905873E0,1.321904778E0,3.400387466E-1,-1.416129589E0,1.966845598E0
2.898221841E0,-6.838692427E-1,-1.189562678E-1,-1.151782990E1,1.153872754E1
2.917537809E0,-1.332161903E0,-1.479771733E-2,-1.385090828E1,1.391483146E1
2.936853460E0,3.016492426E-1,3.482407629E-1,-4.156700611E0,4.182155409E0
2.956194772E0,1.539455891E0,-1.847186387E-1,1.171022129E1,1.181242262E1
2.975510740E0,1.845630050E0,-4.435167313E-1,1.630450630E1,1.641462711E1
2.994826580E0,1.538450360E0,2.355963886E-1,2.931431293E0,3.318979451E0
3.014369327E0,-5.822240934E-2,5.701119453E-2,-8.687059402E0,8.687441579E0
3.033685644E0,-1.331254959E0,-1.200992092E-1,-1.378136826E1,1.384603823E1
3.053001612E0,-1.546466708E0,-1.437290013E-1,-1.378338337E1,1.387061190E1
3.072342924E0,-6.722628474E-1,2.430347502E-1,-7.679141998E0,7.712342385E0
3.091658892E0,1.585517168E0,-4.419747293E-1,1.650532722E1,1.658719485E1
3.110974860E0,1.381995082E0,6.647377461E-2,7.280309200E0,7.410616116E0
3.130316172E0,2.327265143E-1,1.754539609E-1,-5.583502293E0,5.591103967E0
3.149632012E0,-1.149511695E0,-1.589160562E-1,-1.252737904E1,1.258101176E1
3.168947852E0,-6.454775333E-1,1.396670491E-1,-1.033698463E1,1.035805964E1
3.188289164E0,1.038992763E0,2.229283452E-1,1.507467508E0,1.844359319E0
3.207605132E0,1.558813214E0,-3.953573406E-1,1.478443909E1,1.487164568E1
3.226921100E0,1.509408712E0,-1.276971847E-1,1.116930199E1,1.127155393E1
3.246262458E0,7.027405500E-1,2.767100632E-1,-2.134149790E0,2.263848066E0
3.265578426E0,-8.003722429E-1,-1.211316139E-1,-1.051341343E1,1.054453083E1
3.284894266E0,-9.581208825E-1,3.387748823E-2,-1.186136627E1,1.190004845E1
3.304235450E0,5.287596583E-1,2.523468435E-1,-2.747787714E0,2.809555664E0
3.323551418E0,1.453637123E0,-2.110878825E-1,1.127630901E1,1.137157702E1
3.342870525E0,1.507332087E0,-2.709404230E-1,1.369345284E1,1.377882830E1
3.362211965E0,1.006814480E0,2.391801476E-1,1.698942184E0,1.989293112E0
3.381527933E0,-2.360943705E-1,-3.786884993E-2,-7.993552685E0,7.997128180E0
3.400843901E0,-1.184923291E0,-8.170400560E-2,-1.205300426E1,1.211138434E1
3.420185341E0,-2.774367034E-1,2.465440780E-1,-6.246243477E0,6.257260797E0
3.439505781E0,1.030697703E0,2.760327980E-2,6.687294006E0,6.766313681E0
3.458821877E0,1.477757454E0,-3.912786245E-1,1.443849277E1,1.451919211E1
3.478163317E0,1.337048531E0,7.706250250E-2,5.605046749E0,5.762827992E0
3.497479413E0,2.342827171E-1,1.329541802E-1,-5.284339905E0,5.291201511E0
3.516795509E0,-1.054262877E0,-1.080564708E-1,-1.116703796E1,1.121721370E1
3.536111605E0,-7.363299131E-1,1.328386962E-1,-8.810619354E0,8.842332343E0
3.555453045E0,6.936442256E-1,1.839335859E-1,2.157687664E0,2.273893122E0
3.574769141E0,1.343381166E0,-3.634377718E-1,1.330994511E1,1.338250345E1
3.594085109E0,1.433284283E0,-7.826442271E-2,9.125021935E0,9.237231970E0
3.613401077E0,6.797070503E-1,2.178923935E-1,-2.274287939E0,2.383666168E0
3.632717173E0,8.455380201E-1,2.329471707E-1,-2.273901463E0,2.437175987E0
3.652072120E0,-7.904137969E-1,-1.436624080E-1,-9.478805542E0,9.512788622E0
3.671388344E0,4.998671412E-1,2.464595884E-1,-1.820898533E0,1.904279642E0
3.690704696E0,1.271122694E0,-2.364851832E-1,1.059277630E1,1.067139109E1
3.710046392E0,1.301710963E0,-2.528254092E-1,1.165883827E1,1.173400537E1
3.729362744E0,7.886593938E-1,2.017314434E-1,1.002552032E0,1.291429360E0
3.748682925E0,-4.003842175E-1,-4.564318433E-2,-7.341236115E0,7.352287978E0
3.768024749E0,-9.251965880E-1,3.708651988E-3,-1.071792221E1,1.075778132E1
3.787341101E0,-6.361157284E-4,2.161177546E-1,-5.092699528E0,5.097283175E0
3.806682797E0,1.054949760E0,-6.684586406E-2,6.799352169E0,6.881030249E0
3.825999277E0,1.231908679E0,-3.099589646E-1,1.266787815E1,1.273141039E1
3.845321584E0,9.367336035E-1,1.150114536E-1,4.399778843E0,4.499861258E0
3.864638064E0,-6.310024858E-2,6.593619287E-2,-4.943471432E0,4.944313807E0
3.883980016E0,-9.227678180E-1,-6.880487502E-2,-1.005073452E1,1.009324026E1
3.903296496E0,-4.160831571E-1,1.538495421E-1,-7.572582245E0,7.585565024E0
3.922612848E0,7.503803372E-1,8.970005810E-2,2.665786266E0,2.770836186E0
3.941934724E0,1.166458368E0,-3.229483366E-1,1.199825573E1,1.205914845E1
3.961276676E0,1.214212418E0,-3.792457283E-2,7.529494286E0,7.626862675E0
3.980593284E0,4.783298671E-1,1.668308228E-1,-2.315100908E0,2.369878520E0
3.999935108E0,-6.845058799E-1,-1.011704281E-1,-8.607225418E0,8.634993524E0
4.019372181E0,-8.574877977E-1,8.461178839E-2,-9.097739220E0,9.138451914E0
4.038688789E0,2.307194769E-1,1.947992295E-1,-1.091485023E0,1.132483012E0
4.058030613E0,1.066420078E0,-2.306408286E-1,9.859217644E0,9.919406208E0
4.077347221E0,1.247001886E0,-1.623468995E-1,9.932019234E0,1.001131242E1
4.096663701E0,8.149638176E-1,1.990086436E-1,5.741345286E-1,1.016563289E0
