Wavelength,Nothing,Pure_water,Empty_cuvette,150,187.5,300,375,750,1500,1875,3000,3750,7500,15000,
400,NAN,0.076,-0.011,0.378,0.076,0.161,-0.115,0.134,-0.106,0.060,-0.036,0.311,0.192,0.232,
401,-1.134,0.579,0.025,0.172,0.139,0.104,0.054,0.001,0.012,0.139,0.127,0.076,0.049,0.123,
402,-1.177,0.818,-0.078,0.199,0.128,-0.181,0.188,-0.032,0.060,0.363,0.122,-0.055,0.028,0.279,
403,NAN,NAN,-0.058,0.432,0.306,-0.057,0.374,0.239,0.107,0.259,0.359,0.064,0.241,0.401,
404,NAN,NAN,-0.252,0.272,0.231,-0.080,0.178,-0.027,0.102,0.195,-0.064,-0.055,-0.010,-0.048,
405,-1.230,-0.330,-0.260,0.157,0.084,-0.001,-0.130,-0.084,0.286,0.935,-0.126,-0.160,-0.233,-0.089,
406,0.183,-0.136,-0.189,0.013,-0.218,0.100,-0.234,-0.046,0.237,0.254,0.208,-0.082,-0.141,-0.045,
407,-0.824,-0.069,-0.463,-0.167,-0.707,-0.310,-0.601,-0.508,-0.360,-0.548,-0.514,0.023,NAN,-0.336,
408,-0.387,NAN,-0.053,-0.157,-0.296,-0.139,-0.236,-0.321,-0.270,-0.090,-0.387,-0.158,0.154,-0.094,
409,-0.294,NAN,-0.269,-0.249,-0.175,-0.236,-0.230,-0.241,-0.193,-0.069,0.047,-0.194,-0.111,0.032,
410,-0.550,-0.164,-0.264,-0.257,-0.143,-0.203,-0.277,-0.243,-0.009,0.045,0.000,0.048,-0.078,0.080,
411,-0.385,0.196,0.423,0.001,0.113,0.278,0.150,0.021,0.246,NAN,0.295,1.433,0.208,0.076,
412,-0.473,0.786,-0.165,0.080,0.121,-0.095,-0.098,0.187,-0.199,0.682,0.677,0.496,0.015,0.124,
413,-0.703,-0.087,-0.399,0.691,NAN,0.231,0.133,0.269,-0.315,0.897,0.614,0.556,-0.197,NAN,
414,-0.122,-0.557,-0.098,0.035,0.119,0.132,-0.216,-0.217,0.039,0.336,-0.136,0.173,-0.302,0.387,
415,-1.007,-0.456,-0.088,-0.209,-0.311,-0.237,-0.423,-0.347,0.053,-0.174,-0.194,-0.142,-0.172,0.095,
416,-1.053,0.291,-0.157,0.088,-0.202,-0.080,-0.296,-0.237,-0.104,-0.105,0.079,-0.024,-0.079,0.043,
417,0.934,0.061,-0.198,0.103,-0.011,-0.013,-0.100,-0.077,-0.088,-0.210,0.231,-0.058,0.131,0.105,
418,-0.724,-0.520,-0.281,-0.149,0.089,-0.063,-0.051,-0.186,0.037,-0.216,0.074,-0.196,0.477,-0.065,
419,NAN,NAN,-0.489,-0.314,0.474,-0.196,-0.104,-0.342,-0.117,0.039,0.067,-0.263,0.067,0.072,
420,NAN,-0.335,-0.308,-0.301,0.218,0.092,0.097,-0.170,0.060,0.313,0.118,-0.078,0.241,NAN,
421,NAN,0.053,-0.396,-0.247,-0.205,NAN,-0.379,-0.228,-0.163,-0.136,0.171,-0.421,0.204,1.194,
422,NAN,0.428,-0.376,-0.086,-0.197,0.113,-0.576,-0.360,-0.072,-0.255,0.256,-0.291,0.291,-0.090,
423,-0.333,0.290,-0.501,-0.381,0.028,-0.135,-0.568,-0.515,0.613,0.397,-0.066,0.470,NAN,-0.028,
424,-0.765,NAN,-0.312,-0.272,0.173,-0.121,-0.225,-0.203,0.065,-0.063,-0.167,-0.066,0.086,0.195,
425,NAN,NAN,-0.118,-0.146,-0.025,-0.024,-0.128,0.041,0.334,-0.066,0.185,0.020,-0.007,0.164,
426,NAN,0.346,-0.090,-0.062,-0.081,-0.086,-0.194,-0.060,0.072,0.139,0.339,0.212,-0.032,0.046,
427,NAN,0.626,-0.515,-0.250,-0.276,-0.448,-0.419,-0.220,-0.311,-0.291,0.494,NAN,0.108,-0.178,
428,-1.586,0.338,-0.181,0.199,0.039,-0.001,-0.153,0.124,-0.048,0.132,1.096,0.577,NAN,0.095,
429,NAN,0.051,-0.168,-0.133,-0.087,-0.176,-0.183,-0.077,-0.160,0.241,0.100,0.146,0.177,0.016,
430,NAN,0.889,-0.141,-0.404,-0.295,-0.427,-0.303,-0.375,-0.165,-0.064,-0.049,0.215,-0.007,-0.239,
431,NAN,0.199,-0.285,-0.336,-0.214,-0.372,0.046,-0.203,0.039,-0.005,0.339,0.227,0.778,-0.094,
432,-1.116,0.486,-0.270,-0.138,0.070,-0.101,-0.068,0.033,-0.011,0.202,0.162,-0.042,0.131,0.354,
433,NAN,0.096,-0.107,-0.165,0.295,-0.192,0.023,-0.288,0.087,0.041,0.219,-0.138,-0.085,NAN,
434,NAN,NAN,-0.269,-0.404,0.827,-0.345,-0.014,-0.302,0.208,0.007,0.124,0.041,0.228,-0.120,
435,NAN,0.439,-0.664,-0.346,-0.003,-0.631,-0.590,-0.372,-0.118,0.254,-0.416,0.290,-0.191,-0.578,
436,NAN,-0.856,-0.422,-0.174,-0.236,-0.410,-0.432,-0.243,-0.082,0.048,-0.134,0.114,-0.078,-0.244,
437,NAN,NAN,-0.285,-0.367,-0.339,-0.275,-0.229,-0.170,-0.195,0.091,-0.153,-0.311,NAN,-0.028,
438,0.420,NAN,-0.211,-0.113,0.274,0.103,-0.315,-0.097,-0.108,0.635,-0.095,1.388,NAN,-0.190,
439,NAN,-0.822,-0.130,0.425,NAN,0.338,-0.008,0.142,0.205,1.320,0.249,NAN,0.696,0.560,
440,NAN,-0.688,-0.108,0.168,0.672,-0.029,0.122,-0.005,0.360,0.071,0.116,0.548,0.355,0.504,
441,NAN,0.121,-0.261,0.019,0.879,0.154,-0.002,-0.051,NAN,0.071,0.213,0.308,NAN,0.465,
442,NAN,-0.157,-0.112,0.459,NAN,0.289,0.207,-0.053,NAN,1.638,0.730,0.831,NAN,0.598,
443,NAN,-0.264,0.116,0.188,0.293,0.110,0.270,0.143,0.302,0.326,0.339,0.497,0.294,0.355,
444,NAN,-0.069,-0.116,0.101,0.065,0.041,0.117,0.003,0.300,-0.004,0.085,0.227,0.306,0.316,
445,NAN,0.060,-0.813,-0.116,-0.196,-0.509,-0.105,-0.612,-0.266,-0.459,0.729,-0.271,0.233,0.492,
446,NAN,-1.210,-0.482,-0.212,-0.013,-0.269,-0.076,-0.204,-0.176,-0.430,1.788,0.205,0.134,NAN,
447,0.590,NAN,-0.173,-0.062,0.090,-0.048,0.026,-0.101,0.088,0.110,0.396,0.293,0.177,0.093,
448,NAN,-1.007,-0.267,-0.084,0.011,-0.069,-0.087,-0.164,0.039,0.466,0.238,0.171,-0.062,-0.034,
449,NAN,-0.696,-0.047,0.107,0.033,0.004,0.021,0.088,0.148,0.417,0.202,0.297,0.099,0.018,
450,0.866,-0.528,-0.050,0.134,0.154,0.093,0.112,0.049,0.164,0.147,0.257,0.143,0.458,0.085,
451,NAN,-0.501,-0.218,-0.023,0.033,-0.075,-0.197,-0.192,0.059,0.056,0.098,0.190,0.218,0.238,
452,NAN,0.224,-0.200,0.057,0.075,-0.116,-0.095,-0.151,-0.007,0.036,0.133,0.254,0.134,0.102,
453,NAN,NAN,-0.362,-0.099,-0.032,-0.171,-0.065,-0.201,-0.055,0.145,0.315,0.341,0.115,-0.004,
454,NAN,0.088,-0.492,-0.074,-0.129,-0.227,-0.310,-0.214,0.022,0.718,NAN,NAN,0.334,0.432,
455,NAN,-0.257,-0.213,0.066,-0.043,-0.002,-0.205,0.114,0.542,0.164,0.544,0.883,0.100,1.487,
456,NAN,-1.444,-0.236,-0.144,-0.075,0.025,-0.230,0.055,0.153,0.057,0.015,0.962,0.108,NAN,
457,NAN,-0.784,-0.354,-0.203,-0.260,-0.051,-0.190,-0.098,-0.073,-0.126,0.024,0.257,0.334,NAN,
458,NAN,0.124,-0.279,-0.124,-0.103,-0.069,-0.014,0.057,-0.016,0.083,0.028,0.299,0.131,0.354,
459,NAN,0.017,-0.142,0.039,0.243,0.134,0.731,0.162,0.418,1.470,0.891,NAN,0.467,0.432,
460,NAN,-0.217,-0.097,-0.020,0.151,0.130,0.287,0.116,0.376,0.448,1.485,0.665,0.651,0.221,
461,NAN,-1.189,-0.187,0.053,0.011,0.138,0.007,0.190,0.180,0.262,0.274,0.386,0.527,0.497,
462,NAN,-0.300,-0.163,0.070,0.139,0.167,0.008,0.111,0.450,0.387,0.210,0.433,0.223,0.325,
463,NAN,-0.228,-0.088,0.230,0.180,0.215,0.098,0.153,0.828,0.512,0.652,0.452,0.295,0.360,
464,NAN,-0.333,-0.189,0.168,0.156,0.136,0.276,0.192,0.615,0.634,0.514,1.050,0.485,0.295,
465,NAN,0.337,-0.210,-0.050,0.233,0.238,0.247,0.242,0.216,0.356,0.206,0.605,0.416,0.211,
466,-2.884,0.360,-0.137,0.040,0.124,0.318,0.191,0.115,0.177,0.256,0.262,0.465,0.498,0.505,
467,-1.122,0.025,-0.090,0.013,0.110,0.151,0.123,0.141,0.349,0.299,0.312,0.367,0.586,0.477,
468,NAN,-0.089,-0.180,0.005,0.006,0.229,0.047,0.281,0.369,0.360,0.385,0.486,0.450,0.277,
469,NAN,0.138,-0.309,0.076,0.070,0.055,0.089,0.156,0.266,0.404,0.521,0.425,0.566,0.559,
470,-1.409,0.026,-0.401,0.103,0.075,-0.071,0.150,0.065,0.385,NAN,0.596,0.344,0.859,1.530,
471,-0.940,-0.124,-0.197,0.147,0.094,0.122,0.255,0.295,0.439,0.440,1.031,1.347,0.433,0.543,
472,NAN,0.022,-0.172,-0.039,0.075,0.071,0.117,0.321,0.526,0.173,0.519,0.994,0.289,0.353,
473,NAN,0.130,-0.186,0.023,0.213,0.160,0.102,0.455,0.384,0.615,0.474,0.704,0.449,0.496,
474,NAN,0.097,-0.182,0.091,0.411,0.192,0.206,0.408,0.257,0.530,0.495,0.831,0.669,0.588,
475,NAN,0.069,-0.266,-0.018,0.334,0.007,0.190,0.540,0.587,0.313,0.398,0.852,0.554,NAN,
476,NAN,0.045,-0.186,-0.007,0.122,0.192,0.107,0.208,0.632,0.391,0.329,0.597,0.788,0.572,
477,-0.989,-0.020,-0.200,0.023,0.048,0.215,0.092,0.190,0.581,0.380,0.400,0.967,0.674,0.452,
478,-1.227,-0.103,-0.138,0.058,0.138,0.281,0.147,0.302,0.373,0.527,0.712,0.820,0.628,0.687,
479,NAN,-0.044,-0.163,0.102,0.310,0.408,0.397,0.491,0.410,0.775,0.850,0.715,0.475,0.831,
480,-2.564,-0.042,-0.222,0.014,0.195,0.121,0.351,0.319,0.525,0.676,0.746,0.750,0.511,0.624,
481,NAN,-0.134,-0.119,0.175,0.248,0.067,0.301,0.373,0.567,0.611,1.418,0.858,0.617,0.760,
482,NAN,-0.037,-0.085,0.169,0.229,0.153,0.301,0.550,0.590,0.832,2.316,0.680,0.855,0.680,
483,-1.717,0.038,-0.150,0.130,0.199,0.152,0.254,0.465,0.700,0.906,1.058,0.497,1.447,0.601,
484,-1.593,0.047,-0.173,0.243,0.280,0.222,0.312,0.511,1.037,0.779,3.611,1.148,1.122,0.859,
485,-1.348,0.015,-0.141,0.266,0.251,0.226,0.452,0.478,0.790,1.183,1.384,1.218,1.138,0.804,
486,-1.312,-0.027,-0.150,0.146,0.153,0.154,0.401,0.442,0.573,0.975,0.920,0.772,0.807,0.766,
487,-1.543,-0.080,-0.055,0.185,0.235,0.288,0.379,0.495,0.809,0.714,0.828,1.163,0.934,0.880,
488,-1.760,-0.012,-0.022,0.201,0.239,0.322,0.355,0.410,0.835,1.266,0.834,1.197,1.083,0.809,
489,-1.460,0.010,-0.006,0.205,0.293,0.309,0.339,0.430,1.014,1.032,NAN,0.846,0.841,0.966,
490,-1.679,-0.022,-0.053,0.149,0.254,0.324,0.379,0.492,0.857,0.606,0.955,1.017,0.966,0.734,
491,NAN,-0.037,-0.009,0.273,0.272,0.357,0.432,0.617,1.084,0.707,0.959,1.353,1.001,0.764,
492,-2.784,-0.076,0.029,0.269,0.299,0.410,0.422,0.624,1.016,0.770,1.648,2.000,1.364,0.872,
493,-2.035,-0.029,-0.033,0.157,0.311,0.396,0.499,0.591,0.955,0.951,1.432,1.886,0.929,1.112,
494,-1.709,-0.008,-0.042,0.165,0.382,0.429,0.592,0.736,1.102,NAN,1.034,NAN,1.279,NAN,
495,-1.768,0.006,0.052,0.290,0.389,0.467,0.482,0.728,0.831,1.208,0.807,1.663,NAN,1.111,
496,-2.005,0.027,0.094,0.285,0.353,0.388,0.393,0.660,0.708,0.749,0.794,0.855,1.129,0.813,
497,-2.016,0.022,0.096,0.234,0.291,0.369,0.435,0.657,0.926,1.042,1.017,1.001,1.386,0.872,
498,-1.588,-0.025,0.119,0.324,0.385,0.423,0.573,0.860,1.421,1.013,0.989,1.125,1.764,1.256,
499,NAN,-0.027,0.123,0.271,0.460,0.430,0.578,0.707,1.095,0.763,1.166,1.000,1.023,1.286,
500,NAN,-0.016,0.124,0.257,0.397,0.455,0.564,0.714,1.194,0.812,1.210,1.014,1.013,1.429,
501,-2.041,-0.013,0.153,0.287,0.410,0.514,0.689,0.870,1.388,1.287,1.653,1.162,1.520,NAN,
502,-1.877,-0.027,0.209,0.299,0.424,0.604,0.701,0.853,1.080,1.149,NAN,1.177,1.530,1.953,
503,-1.871,-0.017,0.241,0.288,0.424,0.588,0.674,0.825,1.065,1.044,1.452,1.190,1.144,1.182,
504,-2.575,0.000,0.264,0.289,0.413,0.571,0.691,0.879,1.144,1.224,1.364,NAN,1.552,1.300,
505,-2.396,-0.021,0.263,0.294,0.416,0.548,0.652,0.846,1.190,1.452,1.606,1.384,1.399,1.305,
506,-1.520,0.012,0.286,0.298,0.443,0.573,0.728,0.949,1.377,NAN,1.603,1.859,1.372,1.550,
507,-1.681,0.013,0.296,0.283,0.378,0.524,0.708,1.058,1.155,NAN,1.660,NAN,2.048,1.506,
508,-2.101,-0.020,0.276,0.279,0.375,0.512,0.638,0.995,1.191,1.457,1.613,1.895,2.953,1.412,
509,-1.758,-0.012,0.312,0.285,0.377,0.525,0.671,0.874,1.332,1.161,1.216,1.263,1.565,1.547,
510,-1.845,-0.005,0.357,0.292,0.396,0.598,0.702,1.033,1.739,1.387,1.633,1.316,2.130,1.482,
511,-1.989,-0.001,0.338,0.267,0.388,0.552,0.658,1.058,1.467,1.288,1.542,1.705,2.692,1.152,
512,-1.890,0.010,0.347,0.262,0.375,0.538,0.624,0.992,1.371,1.194,1.371,1.668,1.611,1.262,
513,-2.066,0.009,0.395,0.301,0.389,0.556,0.679,0.901,1.299,1.382,1.333,1.336,1.377,1.345,
514,-2.187,0.001,0.424,0.312,0.390,0.581,0.705,0.968,1.272,1.464,1.490,1.475,2.129,1.421,
515,NAN,0.000,0.444,0.291,0.380,0.530,0.718,1.018,1.539,1.466,1.805,1.963,2.561,1.590,
516,NAN,0.002,0.445,0.274,0.365,0.515,0.688,1.046,1.292,1.476,1.671,1.770,1.713,1.488,
517,NAN,0.002,0.458,0.280,0.396,0.533,0.692,1.037,1.244,1.447,1.523,1.571,1.584,1.413,
518,-2.788,0.002,0.468,0.264,0.380,0.542,0.701,1.081,1.495,1.462,1.841,1.701,1.822,1.382,
519,-2.952,-0.004,0.503,0.274,0.371,0.556,0.736,1.175,1.520,1.538,NAN,1.669,2.056,1.644,
520,NAN,0.002,0.519,0.270,0.376,0.544,0.710,1.097,1.470,1.601,2.065,1.704,2.074,1.810,
521,NAN,0.005,0.505,0.274,0.363,0.552,0.659,1.071,1.440,1.686,1.516,1.899,1.600,1.766,
522,-3.127,-0.001,0.541,0.284,0.360,0.550,0.661,1.142,1.450,1.600,1.665,2.293,1.712,1.790,
523,NAN,-0.002,0.569,0.260,0.355,0.545,0.650,1.077,1.641,1.651,1.672,2.366,NAN,1.631,
524,NAN,0.003,0.571,0.260,0.349,0.569,0.677,1.083,1.686,1.889,1.784,1.959,NAN,1.730,
525,NAN,-0.002,0.573,0.273,0.367,0.549,0.705,1.047,1.499,1.532,1.896,1.665,1.701,1.707,
526,NAN,-0.003,0.590,0.271,0.361,0.535,0.698,1.086,1.389,1.365,1.873,1.632,1.611,1.609,
527,NAN,-0.002,0.622,0.267,0.355,0.553,0.711,1.156,1.467,1.458,2.315,1.864,1.650,1.771,
528,NAN,-0.005,0.645,0.270,0.365,0.571,0.726,1.178,1.686,1.754,3.004,2.062,1.707,1.980,
529,-2.792,-0.001,0.628,0.273,0.374,0.569,0.710,1.192,1.792,1.920,1.994,2.415,1.694,1.945,
530,-3.327,0.010,0.621,0.272,0.368,0.549,0.701,1.136,1.594,1.798,1.977,NAN,1.820,2.335,
531,NAN,0.003,0.650,0.280,0.367,0.556,0.706,1.160,1.696,1.692,1.729,2.268,1.878,2.103,
532,NAN,-0.001,0.692,0.291,0.371,0.576,0.714,1.207,1.690,1.982,2.046,NAN,2.095,2.157,
533,NAN,0.005,0.688,0.280,0.367,0.551,0.683,1.221,1.598,1.754,2.074,2.123,1.940,1.858,
534,NAN,0.005,0.676,0.263,0.355,0.534,0.674,1.217,1.513,1.706,1.846,2.050,1.914,1.719,
535,NAN,0.000,0.673,0.262,0.350,0.539,0.685,1.151,1.554,1.620,1.676,1.773,2.019,1.744,
536,NAN,0.000,0.706,0.259,0.342,0.550,0.664,1.121,1.730,1.617,1.878,1.819,1.963,1.630,
537,-3.098,0.004,0.701,0.256,0.336,0.542,0.647,1.117,1.763,1.862,2.025,1.978,2.072,1.657,
538,NAN,0.001,0.733,0.258,0.340,0.526,0.651,1.104,1.655,1.845,1.813,2.211,2.255,1.813,
539,NAN,-0.001,0.735,0.265,0.338,0.510,0.661,1.141,1.710,1.688,1.915,2.023,2.763,1.857,
540,NAN,-0.006,0.734,0.255,0.314,0.503,0.658,1.124,1.656,1.619,1.772,1.794,2.533,1.918,
541,NAN,0.000,0.755,0.237,0.314,0.503,0.646,1.084,1.616,1.730,2.004,2.339,NAN,2.409,
542,NAN,0.002,0.742,0.225,0.321,0.496,0.614,1.080,1.805,1.750,NAN,2.623,2.137,1.945,
543,NAN,-0.002,0.756,0.227,0.305,0.468,0.594,1.061,1.796,1.768,2.607,2.607,2.213,2.154,
544,NAN,0.003,0.759,0.224,0.286,0.452,0.584,0.986,1.636,1.581,1.800,2.129,1.910,2.021,
545,NAN,0.002,0.756,0.211,0.280,0.439,0.564,0.986,1.599,1.574,1.697,2.076,1.947,2.161,
546,NAN,0.001,0.778,0.197,0.265,0.418,0.546,0.988,1.621,1.660,1.905,2.091,2.488,NAN,
547,NAN,-0.001,0.762,0.189,0.251,0.408,0.519,0.958,1.640,1.656,2.167,2.237,2.265,NAN,
548,NAN,-0.005,0.755,0.175,0.234,0.376,0.480,0.883,1.531,1.473,1.765,1.836,2.033,2.028,
